date_made,target_date,forecast,market,spread,lean,settled,signal_pnl,daily_vol_pct,var_ref_100mwh,max_size_at_limit,status
2026-07-12,2026-07-13,,,,,,,43.7,7941.0,189.0,spread skipped: HTTPError
2026-07-13,2026-07-14,106.34,106.42,-0.08,FLAT,,,43.7,7678.0,195.0,ok
2026-07-14,2026-07-15,115.92,119.37,-3.45,FLAT,,,43.8,8635.0,174.0,ok
2026-07-15,2026-07-16,126.79,123.94,2.85,FLAT,,,44.0,9005.0,167.0,ok
2026-07-16,2026-07-17,120.02,123.54,-3.52,FLAT,,,43.9,8948.0,168.0,ok
2026-07-17,2026-07-18,122.19,129.07,-6.88,FLAT,,,44.2,9405.0,159.0,ok
2026-07-18,2026-07-19,121.09,121.57,-0.48,FLAT,,,44.0,8834.0,170.0,ok
2026-07-19,2026-07-20,140.09,129.69,10.4,LONG,,,43.7,9341.0,161.0,ok
2026-07-20,2026-07-21,115.42,128.28,-12.86,SHORT,,,43.7,9246.0,162.0,ok
2026-07-21,2026-07-22,132.0,138.14,-6.14,FLAT,,,43.6,9943.0,151.0,ok
2026-07-22,2026-07-23,127.96,127.43,0.53,FLAT,,,43.8,9200.0,163.0,ok
2026-07-23,2026-07-24,119.77,129.89,-10.12,SHORT,,,43.7,9357.0,160.0,ok
2026-07-24,2026-07-25,116.28,135.55,-19.27,SHORT,,,43.6,9741.0,154.0,ok
2026-07-25,2026-07-26,116.99,141.13,-24.14,SHORT,,,43.6,10153.0,148.0,ok
2026-07-26,2026-07-27,119.31,123.84,-4.53,FLAT,,,43.6,8918.0,168.0,ok
2026-07-27,2026-07-28,106.69,85.28,21.41,LONG,,,44.1,6204.0,242.0,ok
2026-07-28,2026-07-29,126.41,130.79,-4.38,FLAT,,,19.3,4164.0,360.0,ok
2026-07-29,2026-07-30,113.67,119.89,-6.22,FLAT,,,17.4,3445.0,435.0,ok
2026-07-30,2026-07-31,121.92,123.84,-1.92,FLAT,,,16.0,3271.0,459.0,ok
2026-07-31,2026-08-01,121.68,129.04,-7.36,FLAT,,,14.2,3033.0,495.0,ok
2026-08-01,2026-08-02,117.13,139.94,-22.81,SHORT,,,12.7,2943.0,510.0,ok
2026-08-02,2026-08-03,134.87,142.78,-7.91,FLAT,,,12.3,2909.0,516.0,ok
2026-08-03,2026-08-04,110.94,115.87,-4.93,FLAT,,,12.8,2440.0,615.0,ok
2026-08-04,2026-08-05,121.95,135.0,-13.05,SHORT,,,12.1,2703.0,555.0,ok
2026-08-05,2026-08-06,127.53,132.6,-5.07,FLAT,,,11.7,2565.0,585.0,ok
